cause,resolution,object_id,work_order_id,date_initiated,date_started,date_finished,asset_type,asset_group,description,priority,status,street_class,quantity,unit,address,district,x,y,project_name,flag_bad_date,work_type,is_active,age_days,days_to_finish,is_storm,needs_traffic_control,needs_nsp,waiting_tender,has_coords,tree_dist_m,match_conf,tree_id,species_common,dbh_class,wires,loc_gen,year_planted,is_ash,n_trees_25m,max_dbh_25m,any_wires_25m,any_ash_25m
,,78206,316326,2023-02-07 12:00:00,,,TRN_SECTRAV,Right of Way,Unclassified Work Order from WOOD Sidewalk Audit,Low,OPEN,MINOR COLLECTOR,2.0,SLABS,LANGBRAE DR (CHELTON WDS TO ROXBURY),12,-7087324.07085408,5569692.79459885,2021 AMEC WOOD SIDEWALK AUDIT,False,Unclassified Work Order from WOOD Sidewalk Audit,True,1312,,False,False,False,False,True,2.2033080165064285,high,TRE251872,Callery Pear,3,True,ROW,,False,5,3.0,True,False
,,78207,316327,2023-02-07 12:00:00,,,TRN_SECTRAV,Right of Way,Unclassified Work Order from WOOD Sidewalk Audit,Low,OPEN,LOCAL STREET,2.0,SLABS,GRASSY LAKE DR (RAGGED LAKE TO CIVIC 80),11,-7087545.39572707,5563308.90416477,2021 AMEC WOOD SIDEWALK AUDIT,False,Unclassified Work Order from WOOD Sidewalk Audit,True,1312,,False,False,False,False,True,4.344664678972904,high,TRE269823,Japanese Tree Lilac,1,True,ROW,2024,False,2,1.0,True,False
,,78209,316330,2023-02-07 12:00:00,,,TRN_SECTRAV,Right of Way,Unclassified Work Order from WOOD Sidewalk Audit,Low,OPEN,MAJOR COLLECTOR,3.0,SLABS,WINDSOR ST (MAXWELL TO OPP CIVIC 3420),8,-7081224.63427354,5568102.95675652,2021 AMEC WOOD SIDEWALK AUDIT,False,Unclassified Work Order from WOOD Sidewalk Audit,True,1312,,False,False,False,False,True,16.398930968242716,low,,,,,,,,5,3.0,True,False
,,78210,316331,2023-02-07 12:00:00,,,TRN_SECTRAV,Right of Way,Unclassified Work Order from WOOD Sidewalk Audit,Low,OPEN,LOCAL STREET,3.0,SLABS,ISNER AVE (ROMANS TO END),9,-7082211.56647913,5566586.25032093,2021 AMEC WOOD SIDEWALK AUDIT,False,Unclassified Work Order from WOOD Sidewalk Audit,True,1312,,False,False,False,False,True,64.82841113533203,none,,,,,,,,0,,False,False
,,78212,316333,2023-02-07 12:00:00,,,TRN_SECTRAV,Right of Way,Unclassified Work Order from WOOD Sidewalk Audit,Low,OPEN,MINOR COLLECTOR,4.0,SLABS,WARDOUR ST (BROOK TO TRUNK 7),16,-7086173.5875204,5579018.11912869,2021 AMEC WOOD SIDEWALK AUDIT,False,Unclassified Work Order from WOOD Sidewalk Audit,True,1312,,False,False,False,False,True,10.232505926429274,low,,,,,,,,8,8.0,True,False
,,78213,316334,2023-02-07 12:00:00,,,TRN_SECTRAV,Right of Way,Unclassified Work Order from WOOD Sidewalk Audit,Low,OPEN,LOCAL STREET,7.0,SLABS,CHESTER AVE (CONNOLLY TO CONNAUGHT),8,-7081622.54018084,5567517.83166319,2021 AMEC WOOD SIDEWALK AUDIT,False,Unclassified Work Order from WOOD Sidewalk Audit,True,1312,,False,False,False,False,True,4.716124278224253,high,TRE135831,Ginkgo,2,True,ROW,,False,5,6.0,True,False
,,78214,316335,2023-02-07 12:00:00,,,TRN_SECTRAV,Right of Way,Unclassified Work Order from WOOD Sidewalk Audit,Low,OPEN,LOCAL STREET,23.0,SLABS,GERRISH ST (BRUNSWICK TO END),8,-7078260.718,5567434.124,Future Capital Consideration,False,Unclassified Work Order from WOOD Sidewalk Audit,True,1312,,False,False,False,False,True,12.5957272407507,low,,,,,,,,6,2.0,True,False
,,78215,316336,2023-02-07 12:00:00,,,TRN_SECTRAV,Right of Way,Unclassified Work Order from WOOD Sidewalk Audit,Low,OPEN,LOCAL STREET,7.0,SLABS,CHEBUCTO RD (NORTH/KLINE TO OXFORD),9,-7080223.62320443,5566197.07886513,2021 AMEC WOOD SIDEWALK AUDIT,False,Unclassified Work Order from WOOD Sidewalk Audit,True,1312,,False,False,False,False,True,8.01972375584157,med,TRE245074,Japanese Tree Lilac,1,True,ROW,2023,False,7,8.0,True,False
,,78216,316337,2023-02-07 12:00:00,,,TRN_SECTRAV,Right of Way,Unclassified Work Order from WOOD Sidewalk Audit,Low,OPEN,ARTERIAL,4.0,SLABS,BEDFORD HWY (LEGION TO OAKMOUNT),16,-7086014.58303844,5580668.55758125,2021 AMEC WOOD SIDEWALK AUDIT,False,Unclassified Work Order from WOOD Sidewalk Audit,True,1312,,False,False,False,False,True,3.165587022541632,high,TRE227789,Bigleaf Linden,3,False,ROW,,False,3,3.0,False,False
,,78217,316338,2023-02-07 12:00:00,,,TRN_SECTRAV,Right of Way,Unclassified Work Order from WOOD Sidewalk Audit,Low,OPEN,ARTERIAL,4.0,SLABS,ST MARGARETS BAY RD (BALCOMES TO FAIRMOUNT),9,-7082684.6096674,5565046.33561022,2021 AMEC WOOD SIDEWALK AUDIT,False,Unclassified Work Order from WOOD Sidewalk Audit,True,1312,,False,False,False,False,True,6.343797539089421,med,TRE151251,Unknown Species,1,True,ROW,,False,1,1.0,True,False
